	ResponseId	MainBranch	Age	Employment	RemoteWork	Check	CodingActivities	EdLevel	LearnCode	LearnCodeOnline	TechDoc	YearsCode	YearsCodePro	DevType	OrgSize	PurchaseInfluence	BuyNewTool	BuildvsBuy	TechEndorse	Country	Currency	CompTotal	LanguageHaveWorkedWith	LanguageWantToWorkWith	LanguageAdmired	DatabaseHaveWorkedWith	DatabaseWantToWorkWith	DatabaseAdmired	PlatformHaveWorkedWith	PlatformWantToWorkWith	PlatformAdmired	WebframeHaveWorkedWith	WebframeWantToWorkWith	WebframeAdmired	EmbeddedHaveWorkedWith	EmbeddedWantToWorkWith	EmbeddedAdmired	MiscTechHaveWorkedWith	MiscTechWantToWorkWith	MiscTechAdmired	ToolsTechHaveWorkedWith	ToolsTechWantToWorkWith	ToolsTechAdmired	NEWCollabToolsHaveWorkedWith	NEWCollabToolsWantToWorkWith	NEWCollabToolsAdmired	OpSysPersonal use	OpSysProfessional use	OfficeStackAsyncHaveWorkedWith	OfficeStackAsyncWantToWorkWith	OfficeStackAsyncAdmired	OfficeStackSyncHaveWorkedWith	OfficeStackSyncWantToWorkWith	OfficeStackSyncAdmired	AISearchDevHaveWorkedWith	AISearchDevWantToWorkWith	AISearchDevAdmired	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOHow	SOComm	AISelect	AISent	AIBen	AIAcc	AIComplex	AIToolCurrently Using	AIToolInterested in Using	AIToolNot interested in Using	AINextMuch more integrated	AINextNo change	AINextMore integrated	AINextLess integrated	AINextMuch less integrated	AIThreat	AIEthics	AIChallenges	TBranch	ICorPM	WorkExp	Knowledge_1	Knowledge_2	Knowledge_3	Knowledge_4	Knowledge_5	Knowledge_6	Knowledge_7	Knowledge_8	Knowledge_9	Frequency_1	Frequency_2	Frequency_3	TimeSearching	TimeAnswering	Frustration	ProfessionalTech	ProfessionalCloud	ProfessionalQuestion	Industry	JobSatPoints_1	JobSatPoints_4	JobSatPoints_5	JobSatPoints_6	JobSatPoints_7	JobSatPoints_8	JobSatPoints_9	JobSatPoints_10	JobSatPoints_11	SurveyLength	SurveyEase	ConvertedCompYearly	JobSat
49885	49886	I am a developer by profession	18-24 years old	Not employed, but looking for work;Student, part-time		Apples		Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Colleague;Online Courses or Certification;Friend or family member			5	2	Developer, full-stack						India			HTML/CSS;JavaScript;SQL	HTML/CSS;JavaScript;SQL	HTML/CSS;JavaScript;SQL	MySQL;PostgreSQL	MySQL;PostgreSQL	MySQL;PostgreSQL	Vercel	Vercel	Vercel	Htmx;jQuery;Next.js;Node.js;React	Htmx;jQuery;Next.js;Node.js;React	Htmx;jQuery;Next.js;Node.js;React				NumPy;React Native	NumPy;React Native	NumPy;React Native	npm;Pip;Vite	npm;Pip;Vite	npm;Pip;Vite	Visual Studio	Visual Studio	Visual Studio	MacOS;Windows	MacOS;Windows	Jira	Jira	Jira	Google Chat;Slack;Zoom	Google Chat;Slack;Zoom	Google Chat;Slack;Zoom	Bing AI;ChatGPT;Claude;Codeium;Cody;GitHub Copilot;OpenAI Codex;Visual Studio Intellicode	Bing AI;ChatGPT;Claude;Codeium;Cody;GitHub Copilot;OpenAI Codex;Visual Studio Intellicode	Bing AI;ChatGPT;Claude;Codeium;Cody;GitHub Copilot;OpenAI Codex;Visual Studio Intellicode	Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast;Overflow API	A few times per week	Yes	Less than once per month or monthly	Quickly finding code solutions;Learning new-to-everyone technology/techniques	Yes, definitely	Yes	Very favorable	Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding;Make workload more manageable	Somewhat trust	Bad at handling complex tasks	Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data	Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics				Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data			No	Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them																																Appropriate in length	Easy		
49893	49894	I am a developer by profession	18-24 years old	Not employed, but looking for work		Apples		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Other online resources (e.g., videos, blogs, forum, online community)	Technical documentation;Blogs;Written Tutorials;Stack Overflow;AI	API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine	3	1	Developer, full-stack						India			Assembly;C;Go;JavaScript;Rust;TypeScript	Assembly;C;C++;Go;Rust	Assembly;C;Go;Rust	MongoDB;SQLite	Dynamodb;MongoDB;PostgreSQL;SQLite	MongoDB;SQLite	Amazon Web Services (AWS);Vercel	Amazon Web Services (AWS);Cloudflare	Amazon Web Services (AWS)	Express;Htmx;Next.js;React	Astro;Solid.js		Cargo;GNU GCC;LLVM's Clang	Cargo;GNU GCC;LLVM's Clang	Cargo;GNU GCC;LLVM's Clang	Apache Kafka;Opencv;Tauri	CUDA;Keras;NumPy;Opencv;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch	Opencv	APT;Docker;Make;pnpm;Vite	Ansible;APT;Docker;Make;Terraform;Vite	APT;Docker;Make;Vite	Neovim;Vim	Neovim;Vim	Neovim;Vim	Android;Debian;Other Linux-based;Ubuntu		GitHub Discussions;Markdown File;Notion;Obsidian	GitHub Discussions;Markdown File	GitHub Discussions;Markdown File	Discord;Google Meet;Whatsapp	Google Meet;Whatsapp	Google Meet;Whatsapp	ChatGPT;GitHub Copilot	ChatGPT;GitHub Copilot	ChatGPT;GitHub Copilot	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per week	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques	Yes, somewhat	Yes	Indifferent	Speed up learning	Neither trust nor distrust	Good, but not great at handling complex tasks	Writing code;Search for answers	Learning about a codebase;Project planning		Search for answers		Writing code			No	Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data																																	Too long	Easy		
49925	49926	I am a developer by profession	25-34 years old	Employed, full-time	In-person	Apples	Professional development or self-paced learning from online courses	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	On the job training;Online Courses or Certification			1	1	Developer, full-stack	10 to 19 employees	I have little or no influence	Start a free trial;Ask developers I know/work with;Ask a generative AI tool;Visit developer communities like Stack Overflow	Out-of-the-box is ready to go with little need for customization	APIs;Customization;Integrated developer community;Quality support system;Connected to an open source project	India	"INR	Indian rupee"	300000.0	HTML/CSS;JavaScript;SQL;TypeScript	Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript	HTML/CSS;JavaScript;SQL;TypeScript	MongoDB;PostgreSQL	Cassandra;Cockroachdb;Elasticsearch;Firebase Realtime Database;Redis;Supabase		Netlify;Render	Amazon Web Services (AWS);Digital Ocean;Google Cloud		Express;Next.js;Node.js;React	Solid.js;Spring Boot								Docker;npm	npm	npm	Visual Studio Code	Visual Studio Code	Visual Studio Code	Windows	Windows	GitHub Discussions;Jira	Stack Overflow for Teams;Trello		Google Meet;Slack	Slack	Slack	ChatGPT	ChatGPT	ChatGPT	Stack Overflow;Stack Overflow Blog or Podcast	Daily or almost daily	Yes	Less than once per month or monthly	Quickly finding code solutions	Yes, definitely	No, but I plan to soon	Favorable												I'm not sure	Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks;They create more work (more code/PRs to review, etc.)	No																															Too long	Easy		
49947	49948	I am not primarily a developer, but I write code sometimes as part of my work/studies	18-24 years old	Student, full-time		Apples		Some college/university study without earning a degree	Other online resources (e.g., videos, blogs, forum, online community)	Technical documentation;Blogs;Written Tutorials;Stack Overflow;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)	API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base	4	2	Student						India			Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Objective-C;PowerShell;Python;Ruby;Rust;SQL;Swift;TypeScript	C;Elixir;Erlang;Ruby;Zig	Ruby	MongoDB;MySQL;PostgreSQL;SQLite	Cassandra;MariaDB;Oracle;Redis;Supabase		Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;Vercel	Firebase;Linode, now Akamai;Microsoft Azure;Supabase		Django;FastAPI;Flask;Htmx;Next.js;Node.js;React;Svelte;Vue.js	Astro;Express;jQuery;Ruby on Rails		Cargo;GNU GCC;LLVM's Clang;Ninja;Rasberry Pi	Arduino		Electron;NumPy;OpenCL;Opencv;Pandas;React Native;Ruff;SwiftUI;Tauri	CUDA;DirectX		Bun;Chocolatey;Composer;Docker;Godot;Homebrew;npm;Pip;Vite	Kubernetes;Ninja;Webpack		Android Studio;Nano;Neovim;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode	IntelliJ IDEA		Android;Debian;iOS;MacOS;Ubuntu		GitHub Discussions;Markdown File;Notion;Wikis	Azure Devops;Jira;Obsidian		Discord;Google Chat;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom			ChatGPT;Codeium;GitHub Copilot;Google Gemini;Perplexity AI;Tabnine;Visual Studio Intellicode			Stack Overflow;Stack Exchange	A few times per month or weekly	Yes	A few times per month or weekly	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers	Yes, somewhat	Yes	Favorable	Increase productivity;Greater efficiency;Speed up learning	Neither trust nor distrust	Neither good or bad at handling complex tasks	Writing code;Debugging and getting help;Search for answers	Learning about a codebase;Documenting code;Generating content or synthetic data	Project planning;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics		Writing code;Debugging and getting help;Search for answers				I'm not sure	Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools																																Appropriate in length	Easy		
49950	49951	I code primarily as a hobby	18-24 years old	Student, full-time;Not employed, but looking for work		Apples		Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community)	Technical documentation;Blogs;Books;Stack Overflow;Coding sessions (live or recorded);Social Media;AI	API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine	2		Student						India			Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript	C;C++;Go;Java;Rust	C;C++;Java	Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite	Cassandra;Dynamodb;Elasticsearch;Redis		Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure;Netlify;PythonAnywhere;VMware	Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;Netlify;OpenStack;Vercel	Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Netlify	Express;Flask;Gatsby;jQuery;Node.js;React;Vue.js	Express;NestJS;Next.js;Nuxt.js;React;Vue.js	Express;React;Vue.js	Arduino;CMake;GNU GCC;Rasberry Pi	CMake;Micronaut;MSVC	CMake	Flutter;NumPy;Opencv;Pandas;Scikit-Learn	Apache Kafka;Apache Spark;Hadoop;Quarkus		APT;Chocolatey;Docker;Gradle;Kubernetes;Make;Maven (build tool);MSBuild;npm;Pip;pnpm;Vite;Webpack;Yarn	APT;Chocolatey;Docker;Gradle;Kubernetes;Make;Puppet;Terraform	APT;Chocolatey;Docker;Gradle;Kubernetes;Make	Android Studio;CLion;Code::Blocks;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code	Emacs;IntelliJ IDEA;Neovim;Sublime Text;Vim;Visual Studio;Visual Studio Code	IntelliJ IDEA;Sublime Text;Vim;Visual Studio;Visual Studio Code	Ubuntu;Windows;Windows Subsystem for Linux (WSL)	Ubuntu;Windows;Windows Subsystem for Linux (WSL)	Confluence;GitHub Discussions;Jira;Markdown File;Wikis	Confluence;GitHub Discussions;Jira;Markdown File;Wikis	Confluence;GitHub Discussions;Jira;Markdown File;Wikis	Discord;Google Meet;IRC;Matrix;Signal;Slack;Zoom	Discord;Google Meet;IRC;Matrix;Signal;Slack;Zoom	Discord;Google Meet;IRC;Matrix;Signal;Slack;Zoom	ChatGPT;Claude;GitHub Copilot	ChatGPT	ChatGPT	Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast	Multiple times per day	Yes	Less than once per month or monthly	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques	Yes, definitely	No, and I don't plan to																																															Too long	Easy		
49957	49958	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Apples	Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification	Blogs;Stack Overflow;How-to videos;Video-based Online Courses;AI		4	1	Developer, front-end	100 to 499 employees	I have little or no influence	Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit	Out-of-the-box is ready to go with little need for customization	Reputation for quality and excellence	India	"INR	Indian rupee"	2800000.0	HTML/CSS;JavaScript	C#;Go		MongoDB	PostgreSQL					Next.js;React	ASP.NET;NestJS;Node.js								npm	Vite		Visual Studio			MacOS;Windows	Ubuntu	Clickup	Jira		Slack			ChatGPT			Stack Overflow	A few times per month or weekly	Yes	Less than once per month or monthly	Finding reliable guidance from community-vetted answers	Yes, definitely	No, and I don't plan to																Yes	Individual contributor	9.0	Strongly disagree	Strongly agree	Strongly disagree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Neither agree nor disagree	Never	Never	Never	60-120 minutes a day	15-30 minutes a day	Amount of technical debt;Complexity of tech stack for deployment;Maintaining security of code being produced	Microservices;Continuous integration (CI) and (more often) continuous delivery	Cloud only (single or multi-cloud)	AI-powered search (free)	Healthcare	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Appropriate in length	Neither easy nor difficult		3.0
49961	49962	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Apples	Hobby;Professional development or self-paced learning from online courses	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification	Technical documentation;Blogs;Stack Overflow;Coding sessions (live or recorded);Social Media;Video-based Online Courses;AI	API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free)	7	4	Developer, back-end	1,000 to 4,999 employees	I have some influence	Start a free trial;Ask developers I know/work with;Ask a generative AI tool;Visit developer communities like Stack Overflow	Out-of-the-box is ready to go with little need for customization	APIs;Customization;Integrated developer community;Quality support system;AI tool integration;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project	India	"INR	Indian rupee"		Go;Java;JavaScript;Python	Go;Java;JavaScript;Python	Go;Java;JavaScript;Python	Cassandra;Redis;SQLite	Cassandra;Redis;SQLite	Cassandra;Redis;SQLite	Amazon Web Services (AWS)	Amazon Web Services (AWS)	Amazon Web Services (AWS)	Angular;AngularJS;Spring Boot	Angular;AngularJS;React;Spring Boot	Angular;AngularJS;Spring Boot	Arduino;CMake;GNU GCC;Rasberry Pi			Apache Kafka;Hugging Face Transformers;Spring Framework	Apache Kafka;Hadoop;Hugging Face Transformers;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow	Apache Kafka;Hugging Face Transformers	Ansible;Docker;Godot;Make;Maven (build tool);Pip	Docker;Godot;Make;Maven (build tool);Pip	Docker;Godot;Make;Maven (build tool);Pip	Android Studio;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;PhpStorm;PyCharm;Sublime Text;Vim;Visual Studio Code	IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;PhpStorm;PyCharm;Sublime Text;Vim;Visual Studio Code;Xcode	IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;PhpStorm;PyCharm;Sublime Text;Vim;Visual Studio Code	Android;Debian;Ubuntu;Windows;Windows Subsystem for Linux (WSL)	Debian;Ubuntu;Windows;Windows Subsystem for Linux (WSL)	GitHub Discussions;Jira;Lucid;Notion;Obsidian;Wikis	GitHub Discussions;Jira;Lucid;Notion;Obsidian;Wikis	GitHub Discussions;Jira;Lucid;Notion;Obsidian;Wikis	Discord;Google Chat;Google Meet;Microsoft Teams;Signal;Slack;Telegram;Whatsapp;Zoom	Discord;Google Chat;Google Meet;IRC;Signal;Slack;Telegram;Whatsapp;Zoom	Discord;Google Chat;Google Meet;Signal;Slack;Telegram;Whatsapp;Zoom	Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;Meta AI;Snyk Code	Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;Meta AI;Snyk Code	Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;Meta AI;Snyk Code	Stack Overflow;Stack Overflow Blog or Podcast	A few times per week	Yes	A few times per month or weekly	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques	Yes, definitely	Yes	Very favorable	Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding	Somewhat trust	Neither good or bad at handling complex tasks	Learning about a codebase;Writing code;Documenting code;Testing code;Committing and reviewing code;Predictive analytics;Search for answers;Generating content or synthetic data	Project planning;Debugging and getting help;Deployment and monitoring		Learning about a codebase;Writing code;Documenting code;Testing code;Committing and reviewing code;Predictive analytics;Search for answers;Generating content or synthetic data					I'm not sure	Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;They create more work (more code/PRs to review, etc.)	No																															Too long	Difficult		
49981	49982	I am a developer by profession	25-34 years old	Employed, full-time	In-person	Apples	Professional development or self-paced learning from online courses	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	On the job training;School (i.e., University, College, etc);Online Courses or Certification			9	6	Developer, full-stack	500 to 999 employees	I have little or no influence	Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd	Is ready-to-go but also customizable for growth and targeted use cases		India	"INR	Indian rupee"		C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net)	C#;HTML/CSS;MicroPython;PowerShell;Python;SQL;TypeScript	C#;HTML/CSS;SQL;TypeScript	MongoDB;MySQL	BigQuery;MongoDB;Neo4J;Oracle;PostgreSQL	MongoDB	Databricks	Amazon Web Services (AWS);Databricks;Google Cloud;VMware	Databricks	Angular;ASP.NET;ASP.NET CORE	Angular;ASP.NET;ASP.NET CORE;jQuery;Node.js;Vue.js	Angular;ASP.NET;ASP.NET CORE				.NET (5+) ;.NET Framework (1.0 - 4.8)	.NET (5+) ;.NET Framework (1.0 - 4.8)	.NET (5+) ;.NET Framework (1.0 - 4.8)				Notepad++;Visual Studio;Visual Studio Code	Notepad++;Visual Studio;Visual Studio Code	Notepad++;Visual Studio;Visual Studio Code	Windows	Windows	Azure Devops;Jira	Azure Devops;Confluence;Jira	Azure Devops;Jira	Microsoft Teams;Zoom	Microsoft Teams;Zoom	Microsoft Teams;Zoom	ChatGPT	ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode	ChatGPT	Stack Overflow	A few times per month or weekly	Yes	Less than once per month or monthly	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques	No, not really	No, but I plan to soon	Favorable												No	Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data	Don’t trust the output or answers;Lack of proper training and education on new tools	Yes	Individual contributor	6.0	Agree									Never	3-5 times a week	Never	15-30 minutes a day	Less than 15 minutes a day	Tracking my work;Showing my contributions;Maintaining security of code being produced	DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative	Cloud only (single or multi-cloud)	A coworker	Transportation, or Supply Chain	10.0	0.0	10.0	20.0	0.0	5.0	0.0	1.0	0.0	Appropriate in length	Neither easy nor difficult		7.0
49994	49995	I am a developer by profession	18-24 years old	Student, full-time;Employed, part-time	Remote	Apples	Hobby;School or academic work;Professional development or self-paced learning from online courses	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Other (please specify):	Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;How-to videos;Video-based Online Courses;Certification videos	API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free)	4	Less than 1 year	Developer, back-end	2 to 9 employees	I have a great deal of influence	Start a free trial;Ask developers I know/work with;Ask a generative AI tool;Visit developer communities like Stack Overflow	Is set up to be customized and needs to be engineered into a usable product	APIs;Customization;Integrated developer community;Reputation for quality and excellence;Connected to an open source project;Other:	India	"INR	Indian rupee"	60000.0	JavaScript;Python	Go;Java;JavaScript	JavaScript	MongoDB;MySQL	Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL	MongoDB;MySQL	Amazon Web Services (AWS)	Amazon Web Services (AWS);Google Cloud	Amazon Web Services (AWS)	Express;FastAPI;Flask;Node.js;React	Express;Node.js;Spring Boot	Express;Node.js							APT;Docker;npm;Pip	Ansible;APT;Docker;Kubernetes;Maven (build tool);npm;Terraform	APT;Docker;npm	IntelliJ IDEA;PyCharm;Visual Studio Code	Visual Studio Code	Visual Studio Code	Android;Windows	Windows	Markdown File	Markdown File	Markdown File	Google Meet	Google Meet	Google Meet	ChatGPT;Claude;GitHub Copilot	ChatGPT;GitHub Copilot	ChatGPT;GitHub Copilot	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Quickly finding code solutions	Yes, somewhat	Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning	Somewhat trust	Neither good or bad at handling complex tasks	Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers	Committing and reviewing code;Predictive analytics;Generating content or synthetic data	Deployment and monitoring	Search for answers	Project planning	Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code			No	Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints	AI tools lack context of codebase,  internal architecture, and/or company knowledge	Yes	Individual contributor	1.0	Agree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Strongly agree	Neither agree nor disagree	Agree	Agree	Disagree	1-2 times a week	1-2 times a week	Never	60-120 minutes a day	60-120 minutes a day	Maintaining security of code being produced;Maintaining security of systems/platforms used in work	None of these	Cloud only (single or multi-cloud)	AI-powered search (free)	Retail and Consumer Services	100.0	0.0	85.0	100.0	65.0	100.0	75.0	0.0	0.0	Appropriate in length	Neither easy nor difficult		10.0
50024	50025	I am learning to code	18-24 years old	Student, full-time		Apples		Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification	Technical documentation;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);How-to videos;Interactive tutorial;Video-based Online Courses;AI;Certification videos;Online challenges (e.g., daily or weekly coding challenges)	API document(s) and/or SDK document(s);User guides or README files found in the source repository;AI-powered search/dev tool (free)	1		Student						India			C;HTML/CSS;JavaScript;Python;SQL	C;C#;C++;Cobol;Dart;Go;Java;JavaScript;Kotlin;MATLAB;Objective-C;PowerShell;Python;R;SQL;Swift;Visual Basic (.Net)	C;JavaScript;Python;SQL	PostgreSQL;SQLite	Cassandra;DuckDB;Firebird;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite	PostgreSQL;SQLite	Google Cloud;Render;Vercel	Alibaba Cloud;Amazon Web Services (AWS);Cloudflare;Databricks;Firebase;Google Cloud;Heroku;IBM Cloud Or Watson;Microsoft Azure;Netlify;Oracle Cloud Infrastructure (OCI);PythonAnywhere;Render;Vercel	Google Cloud;Render;Vercel	Flask	Angular;AngularJS;Astro;Django;Express;FastAPI;Flask;Htmx;jQuery;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;React;Ruby on Rails;Spring Boot;Vue.js;WordPress	Flask										Code::Blocks;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Visual Studio Code	Android Studio;DataGrip;Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Netbeans;PyCharm;Rad Studio (Delphi, C++ Builder);RStudio;RubyMine;Spyder;Sublime Text;Visual Studio;Visual Studio Code;Xcode	Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code	Android;Windows	Android;Ubuntu;Windows	GitHub Discussions;Stack Overflow for Teams	Azure Devops;GitHub Discussions;Microsoft Planner;Notion;Obsidian;Stack Overflow for Teams;Trello	GitHub Discussions;Stack Overflow for Teams	Cisco Webex Teams;Discord;Google Chat;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom	Cisco Webex Teams;Discord;Google Chat;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom	Cisco Webex Teams;Discord;Google Chat;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom	Bing AI;ChatGPT;Google Gemini	AskCodi;Amazon Q;Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;Meta AI;OpenAI Codex;Perplexity AI;Phind;Quora Poe;Visual Studio Intellicode	Bing AI;ChatGPT;Google Gemini	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques	Yes, somewhat	Yes	Very favorable	Increase productivity;Speed up learning;Improve accuracy in coding	Neither trust nor distrust	Good, but not great at handling complex tasks	Learning about a codebase;Project planning;Writing code;Debugging and getting help;Committing and reviewing code	Documenting code;Testing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data			Writing code;Debugging and getting help	Learning about a codebase;Project planning;Committing and reviewing code			No	Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them;They create more work (more code/PRs to review, etc.)																																Appropriate in length	Neither easy nor difficult		
